"","trial","accent","stress","type","target","stressed.syllable.L1","stressed.syllable.L2","L1.L2","Nsyllables_correct","condition","stressSCORE","sDURz","peakAMPz","peakF0z","peakDEC","stressed_mistimingL2L1","correct","asynchrony","asynchrony_L2L1","time_syl_L2","time_syl_L1","time_stress","time_beat","stressed_syllable","syllables_detected","ppn","stressed_mistiming_raw"
"42","C2.E.21","no","difference","-written accent, +stress difference","elefantes",1,3,-2,4,"nogesture",1.32323059835899,1.32796142300996,1.53604728238737,1.14578098659961,-0.00955074518378751,0,"L2 correct",281,281,1295,1030,1295,1576,3,4,"Pilot_PPN_1",0
"43","C3.I.1","yes","same","+written accent, -stress difference","brócoli",1,1,0,3,"nogesture",0.884307112624197,1.31226756522683,0.658415042353896,0.709035915522899,-0.0102688169079101,381,"L2 incorrect & L1 mismatch",-141,-141,1040,1040,1421,1280,3,3,"Pilot_PPN_1",0
"44","C3.I.2","yes","same","+written accent, -stress difference","político",2,2,0,4,"nogesture",1.58392706771086,1.26808672612144,1.8080558481254,1.72363641881636,-2.62149728829229,0,"L2 correct",-90,-90,1110,1110,1110,1020,2,4,"Pilot_PPN_1",0
"45","C3.I.3","yes","same","+written accent, -stress difference","cámara",1,1,0,3,"nogesture",0.728262813191842,0.555983445788599,0.798663826515989,0.852209737367659,-0.375245938536636,60,"L2 incorrect & L1 mismatch",100,100,1075,1075,1135,1235,2,3,"Pilot_PPN_1",0
"46","C3.I.4","yes","same","+written accent, -stress difference","número",1,1,0,3,"nogesture",1.34026346936669,1.28378151740702,1.96475482009409,0.812868115125241,-0.00879249487979905,0,"L2 correct",380,380,1361,1361,1361,1741,1,3,"Pilot_PPN_1",0
"47","C3.I.5","yes","same","+written accent, -stress difference","fútbol",1,1,0,2,"nogesture",1.01386403657639,0.944808033161756,1.44391444220862,0.683592786982318,-0.00701951056339567,185,"L2 incorrect & L1 mismatch",40,40,1085,1085,1270,1310,2,2,"Pilot_PPN_1",0
"48","C3.I.6","yes","same","+written accent, -stress difference","saxofón",3,3,0,3,"nogesture",1.58539955182972,0.96465578566643,2.1586528490867,1.68093243139755,-1.18050192671922,0,"L2 correct",-546,-546,1566,1566,1566,1020,3,3,"Pilot_PPN_1",0
"49","C3.I.7","yes","same","+written accent, -stress difference","carácter",2,2,0,3,"nogesture",0.88905090064343,1.01997414474559,0.558680149631815,1.11543934393602,-4.30383583326284,0,"L2 correct",100,100,1105,1105,1105,1205,2,3,"Pilot_PPN_1",0
"50","C3.I.8","yes","same","+written accent, -stress difference","analítico",3,3,0,5,"nogesture",1.29048724814486,1.68904091369871,1.43143948918616,0.790087015735926,-0.791951611255683,-215,"L2 incorrect & L1 mismatch",446,446,1320,1320,1105,1551,2,5,"Pilot_PPN_1",0
"51","C3.I.9","yes","same","+written accent, -stress difference","círculo",1,1,0,3,"nogesture",1.43924024674649,1.5010486551679,1.54815103654039,1.31213438934168,-0.0110612316391325,301,"L2 incorrect & L1 mismatch",-361,-361,1085,1085,1386,1025,3,3,"Pilot_PPN_1",0
"52","C3.I.10","yes","same","+written accent, -stress difference","álbum",1,1,0,2,"nogesture",0.660928210422554,-1.09600587527998,2.04054673435524,1.05827189978097,-0.0060078077954131,0,"L2 correct",386,386,1070,1070,1070,1456,1,2,"Pilot_PPN_1",0
"53","C3.I.11","yes","same","+written accent, -stress difference","ángel",1,1,0,2,"nogesture",0.726313286000412,0.75788633925606,0.690166509432762,0.752896502827577,-3.65001627050052,381,"L2 incorrect & L1 mismatch",95,95,1020,1020,1401,1496,2,2,"Pilot_PPN_1",0
"54","C3.I.12","yes","same","+written accent, -stress difference","capitán",3,3,0,3,"nogesture",1.07328874922945,0.911307206390335,1.34584198466205,0.995240958127781,-2.91012160040896,0,"L2 correct",-236,-236,1361,1361,1361,1125,3,3,"Pilot_PPN_1",0
"55","C3.I.13","yes","same","+written accent, -stress difference","pragmática",2,2,0,4,"nogesture",1.18203680309488,0.874066481768584,1.60752000256607,1.10034322201346,-1.40743017227874,0,"L2 correct",66,66,1270,1270,1270,1336,2,4,"Pilot_PPN_1",0
"56","C3.I.14","yes","same","+written accent, -stress difference","volcán",2,2,0,2,"nogesture",0.770601689533305,0.835706472321676,0.753670051505481,0.745780111122254,-0.0184325904972411,0,"L2 correct",-95,-95,1325,1325,1325,1230,2,2,"Pilot_PPN_1",0
"57","C3.I.15","yes","same","+written accent, -stress difference","teoría",3,3,0,4,"nogesture",1.10083522548142,1.34734796281619,1.17609445388451,0.812421902939976,-0.00984776638370022,0,"L2 correct",-40,-40,1541,1541,1541,1501,3,4,"Pilot_PPN_1",0
"58","C3.I.16","yes","same","+written accent, -stress difference","geográfico",3,3,0,5,"nogesture",1.24805769087871,0.988528147775481,1.79246904329403,1.00099581159324,-3.53370323987372,0,"L2 correct",-190,-190,1641,1641,1641,1451,3,5,"Pilot_PPN_1",0
"59","C3.I.17","yes","same","+written accent, -stress difference","académico",3,3,0,5,"nogesture",1.31214585801937,1.24429598687363,1.78505427542892,0.946849307453119,-0.0123895928450111,0,"L2 correct",325,325,1336,1336,1336,1661,3,5,"Pilot_PPN_1",0
"60","C3.I.18","yes","same","+written accent, -stress difference","romántico",2,2,0,4,"nogesture",1.08651091364627,1.27848179217774,1.20949282035398,0.804482701547875,-0.0126415506126705,0,"L2 correct",116,116,1270,1270,1270,1386,2,4,"Pilot_PPN_1",0
"61","C3.I.19","yes","same","+written accent, -stress difference","espárrago",2,2,0,4,"nogesture",1.10552416610671,-0.209304046090682,2.41116138605137,1.1482158906657,-0.00728981818997454,0,"L2 correct",36,36,1756,1756,1756,1792,2,4,"Pilot_PPN_1",0
"62","C3.I.20","yes","same","+written accent, -stress difference","helicóptero",3,3,0,5,"nogesture",1.00871860184328,0.375952273599288,1.5405911151675,1.14017964712195,-0.00814245295327964,0,"L2 correct",-70,-70,1446,1446,1446,1376,3,5,"Pilot_PPN_1",0
"63","C3.E.21","yes","same","+written accent, -stress difference","histórico",2,2,0,4,"nogesture",1.47599163154576,1.11138958950174,1.87597526521601,1.48533705905727,-0.0270156087617579,0,"L2 correct",456,456,1401,1401,1401,1857,2,4,"Pilot_PPN_1",0
"64","C4.I.1","no","same","-written accent, -stress difference","parasol",3,3,0,3,"nogesture",1.23918818164351,0.81151891417532,1.89042731696367,1.05316947081104,-0.0112682683743515,0,"L2 correct",-331,-331,1461,1461,1461,1130,3,3,"Pilot_PPN_1",0
"65","C4.I.2","no","same","-written accent, -stress difference","universidad",5,5,0,5,"nogesture",1.13688394924229,0.0280810434465844,2.49740381357423,0.91961801947098,-0.00834556176141632,-401,"L2 incorrect & L1 mismatch",571,571,1516,1516,1115,1686,2,5,"Pilot_PPN_1",0
"66","C4.I.3","no","same","-written accent, -stress difference","formulario",3,3,0,4,"nogesture",0.590951581622815,1.39288536441222,-0.156262334489528,0.554139338631297,-5.32504012779918,80,"L2 incorrect & L1 mismatch",-245,-245,3706,3706,3786,3541,4,4,"Pilot_PPN_1",0
"67","C4.I.4","no","same","-written accent, -stress difference","mango",1,1,0,2,"nogesture",1.34634364814832,1.16641601317432,2.06361155249283,0.849801671145954,-4.1485151986011,0,"L2 correct",45,45,1000,1000,1000,1045,1,2,"Pilot_PPN_1",0
"68","C4.I.5","no","same","-written accent, -stress difference","tomate",2,2,0,3,"nogesture",0.900012958919252,0.663966825715434,1.23378042473738,0.829564746272195,-0.0123695376930755,0,"L2 correct",-50,-50,1200,1200,1200,1150,2,3,"Pilot_PPN_1",0
"69","C4.I.6","no","same","-written accent, -stress difference","princesa",2,2,0,3,"nogesture",1.49178118868655,1.43036052881578,1.707102045675,1.38308648213513,-0.00689665611071177,-285,"L2 incorrect & L1 mismatch",491,491,1290,1290,1005,1496,1,3,"Pilot_PPN_1",0
"70","C4.I.7","no","same","-written accent, -stress difference","cables",1,1,0,2,"nogesture",0.920348777410118,-1.38450093791063,2.86773448536869,1.30570214166351,-0.00569203621580527,0,"L2 correct",205,205,1115,1115,1115,1320,1,2,"Pilot_PPN_1",0
"71","C4.I.8","no","same","-written accent, -stress difference","proceso",2,2,0,3,"nogesture",1.77015162232233,1.35774337876869,2.37919972245615,1.62715272399433,-0.0126674198886576,0,"L2 correct",205,205,1351,1351,1351,1556,2,3,"Pilot_PPN_1",0
"72","C4.I.9","no","same","-written accent, -stress difference","papel",2,2,0,2,"nogesture",1.04119627518617,0.60803678989357,1.56996713018148,0.97713630776184,-0.00406444364853087,0,"L2 correct",241,241,1325,1325,1325,1566,2,2,"Pilot_PPN_1",0
"73","C4.I.10","no","same","-written accent, -stress difference","programa",2,2,0,3,"nogesture",0.717277621745673,1.1372959034994,0.516052306627424,0.520220340617638,-2.84681640631163,120,"L2 incorrect & L1 mismatch",235,235,1341,1341,1461,1696,3,3,"Pilot_PPN_1",0
