"","X","trial","accent","stress","type","target","condition","block","rt","ppn"
"641",64,"C4.I.1","no","same","-written accent, -stress difference","parasol","nogesture",1,3.08628797531128,"pilot_1_wim"
"141",14,"C1.I.14","yes","difference","+written accent, +stress difference","católico","nogesture",0,3.06034803390503,"pilot_1_wim"
"811",81,"C4.I.18","no","same","-written accent, -stress difference","canal","nogesture",0,3.05049800872803,"pilot_1_wim"
"671",67,"C4.I.4","no","same","-written accent, -stress difference","mango","nogesture",0,5.64993500709534,"pilot_1_wim"
"451",45,"C3.I.3","yes","same","+written accent, -stress difference","cámara","nogesture",0,3.70286798477173,"pilot_1_wim"
"201",20,"C1.I.20","yes","difference","+written accent, +stress difference","cafetería","nogesture",0,3.07862091064453,"pilot_1_wim"
"121",12,"C1.I.12","yes","difference","+written accent, +stress difference","océano","nogesture",1,3.08343195915222,"pilot_1_wim"
"841",84,"C4.E.21","no","same","-written accent, -stress difference","planeta","nogesture",0,3.06973004341125,"pilot_1_wim"
"791",79,"C4.I.16","no","same","-written accent, -stress difference","cabina","nogesture",0,3.08324909210205,"pilot_1_wim"
"161",16,"C1.I.16","yes","difference","+written accent, +stress difference","gramófono","nogesture",0,3.14023900032043,"pilot_1_wim"
"651",65,"C4.I.2","no","same","-written accent, -stress difference","universidad","nogesture",0,3.07972002029419,"pilot_1_wim"
"301",30,"C2.I.9","no","difference","-written accent, +stress difference","radiador","nogesture",0,3.06775712966919,"pilot_1_wim"
"101",10,"C1.I.10","yes","difference","+written accent, +stress difference","satélito","gesture",1,3.07620215415955,"pilot_1_wim"
"501",50,"C3.I.8","yes","same","+written accent, -stress difference","analítico","gesture",0,3.22887897491455,"pilot_1_wim"
"211",21,"C1.E.21","yes","difference","+written accent, +stress difference","sofá","gesture",0,3.06695890426636,"pilot_1_wim"
"761",76,"C4.I.13","no","same","-written accent, -stress difference","limonada","gesture",0,3.06990814208984,"pilot_1_wim"
"291",29,"C2.I.8","no","difference","-written accent, +stress difference","doctor","gesture",0,3.05661487579346,"pilot_1_wim"
"621",62,"C3.I.20","yes","same","+written accent, -stress difference","helicóptero","gesture",0,3.07692694664001,"pilot_1_wim"
"661",66,"C4.I.3","no","same","-written accent, -stress difference","formulario","nogesture",1,3.08382415771484,"pilot_1_wim"
"561",56,"C3.I.14","yes","same","+written accent, -stress difference","volcán","nogesture",0,3.07305288314819,"pilot_1_wim"
"341",34,"C2.I.13","no","difference","-written accent, +stress difference","factor","nogesture",0,3.05859804153442,"pilot_1_wim"
"631",63,"C3.E.21","yes","same","+written accent, -stress difference","histórico","nogesture",0,3.06812286376953,"pilot_1_wim"
"681",68,"C4.I.5","no","same","-written accent, -stress difference","tomate","nogesture",0,3.06494092941284,"pilot_1_wim"
"551",55,"C3.I.13","yes","same","+written accent, -stress difference","pragmática","nogesture",0,3.10261416435242,"pilot_1_wim"
"721",72,"C4.I.9","no","same","-written accent, -stress difference","papel","nogesture",1,3.06800699234009,"pilot_1_wim"
"251",25,"C2.I.4","no","difference","-written accent, +stress difference","ventilador","nogesture",0,3.09597897529602,"pilot_1_wim"
"691",69,"C4.I.6","no","same","-written accent, -stress difference","princesa","nogesture",0,3.07636499404907,"pilot_1_wim"
"310",3,"C1.I.3","yes","difference","+written accent, +stress difference","pirámide","nogesture",0,3.77925491333008,"pilot_1_wim"
"601",60,"C3.I.18","yes","same","+written accent, -stress difference","romántico","nogesture",0,3.27322506904602,"pilot_1_wim"
"391",39,"C2.I.18","no","difference","-written accent, +stress difference","alergia","nogesture",0,3.0960841178894,"pilot_1_wim"
"521",52,"C3.I.10","yes","same","+written accent, -stress difference","álbum","gesture",1,3.07982897758484,"pilot_1_wim"
"221",22,"C2.I.1","no","difference","-written accent, +stress difference","clima","gesture",0,3.06235098838806,"pilot_1_wim"
"821",82,"C4.I.19","no","same","-written accent, -stress difference","centro","gesture",0,3.23074698448181,"pilot_1_wim"
"710",7,"C1.I.7","yes","difference","+written accent, +stress difference","teléfono","gesture",0,3.07102513313293,"pilot_1_wim"
"510",5,"C1.I.5","yes","difference","+written accent, +stress difference","máquina","gesture",0,3.09588384628296,"pilot_1_wim"
"461",46,"C3.I.4","yes","same","+written accent, -stress difference","número","gesture",0,3.06826996803284,"pilot_1_wim"
"241",24,"C2.I.3","no","difference","-written accent, +stress difference","profesor","gesture",1,3.23903203010559,"pilot_1_wim"
"311",31,"C2.I.10","no","difference","-written accent, +stress difference","ilustrador","gesture",0,3.0698390007019,"pilot_1_wim"
"421",42,"C2.E.21","no","difference","-written accent, +stress difference","elefantes","gesture",0,3.10091805458069,"pilot_1_wim"
"151",15,"C1.I.15","yes","difference","+written accent, +stress difference","demócrata","gesture",0,3.09996581077576,"pilot_1_wim"
"331",33,"C2.I.12","no","difference","-written accent, +stress difference","error","gesture",0,3.0624361038208,"pilot_1_wim"
"711",71,"C4.I.8","no","same","-written accent, -stress difference","proceso","gesture",0,3.08585786819458,"pilot_1_wim"
